id,emotion,intensity,statement,repetition,actor,path
3010101010101,01,01,01,01,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav
3010101010201,01,01,01,02,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav
3010101020101,01,01,02,01,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav
3010101020201,01,01,02,02,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav
3010201010101,02,01,01,01,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav
3010201010201,02,01,01,02,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav
3010201020101,02,01,02,01,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav
3010201020201,02,01,02,02,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav
3010202010101,02,02,01,01,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav
3010202010201,02,02,01,02,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav
3010202020101,02,02,02,01,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav
3010202020201,02,02,02,02,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav
3010301010101,03,01,01,01,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav
3010301010201,03,01,01,02,01.wav,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav
