id,emotion,intensity,statement,repetition,actor,path
0,01,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav
1,01,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav
2,01,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav
3,01,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav
4,02,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav
5,02,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav
6,02,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav
7,02,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav
8,02,02,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav
9,02,02,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav
10,02,02,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav
11,02,02,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav
12,03,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav
13,03,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav
14,03,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav
15,03,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav
16,03,02,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav
17,03,02,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav
18,03,02,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav
19,03,02,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav
